Postcode,1 pallet,2 pallets,3 pallets,4 pallets,5 pallets,6 pallets,7 pallets,8 pallets,9 pallets,10 pallets,11 pallets,12 pallets,13 pallets,14 pallets,15 pallets,16 pallets,17 pallets,18 pallets,19 pallets,20 pallets,21 pallets,22 pallets,23 pallets,24 pallets,25 pallets,26 pallets
DN,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
WF,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
YO10,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
YO14,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
YO15,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
YO16,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
HU,46.20,87.54,116.73,136.18,158.07,189.68,221.29,252.91,284.52,316.13,347.75,379.36,410.97,442.59,474.20,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
DE,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
HD,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
HX,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
NG,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD1,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD2,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD3,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD4,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD5,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD6,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD7,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD8,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD9,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD10,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD11,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD12,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD13,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD14,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD15,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD16,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD17,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD18,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD19,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
S,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO1,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO8,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO10,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO14,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO15,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO16,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO19,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO23,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO24,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO25,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO31,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO41,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO42,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO43,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO90,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO91,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO7,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO11,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO12,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO13,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO17,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO18,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO21,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO22,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO26,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO30,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO32,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO51,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO60,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO61,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
YO62,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,534.32,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD20,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,590.36,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00
BD21,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,590.36,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00
BD22,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,590.36,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00,595.00
OL,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00
BL,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,590.36,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00
LS,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00
WA,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00
ST,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
BB,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,590.36,635.67,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
CW,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
M,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
PR,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
WN,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,590.36,635.67,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
TS,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
BD23,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,590.36,635.67,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
SK,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
B,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
L,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
CV,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
DY,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LE,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
WS,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
WV,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
TF,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
CH,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
FY,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
SR,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
BD24,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LN1,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LN2,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LN3,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LN5,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LN6,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LN4,58.73,111.07,160.86,205.55,248.96,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LN7,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LN8,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LN9,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LN10,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LN11,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LN12,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
LN13,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00,695.00
DL1,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
DL2,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
DL3,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
DL4,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
DL5,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
DL6,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
DL7,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
DL9,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
DL10,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
DL14,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
DL15,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
DL16,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
DL17,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
PE20,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
PE21,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
PE22,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
PE23,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
PE24,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
PE25,58.73,111.07,160.86,205.55,250.83,298.75,348.54,398.33,448.12,497.91,547.70,597.49,647.28,697.08,746.87,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00
NN,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,590.36,635.67,680.99,726.31,771.62,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00
LL1,73.58,145.15,219.73,290.80,360.38,428.45,495.03,561.60,628.18,701.75,775.33,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00
LL2,73.58,145.15,219.73,290.80,360.38,428.45,495.03,561.60,628.18,701.75,775.33,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00
LL3,73.58,145.15,219.73,290.80,360.38,428.45,495.03,561.60,628.18,701.75,775.33,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00
LL4,73.58,145.15,219.73,290.80,360.38,428.45,495.03,561.60,628.18,701.75,775.33,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00,795.00
